Mode,Data Size (MB),Time(us),Bandwidth(Gbps)
rdma_cpu,2,3,0.0106667
rdma_cpu,3,2,0.032
rdma_cpu,4,3,0.0426667
rdma_cpu,5,2,0.128
rdma_cpu,3,13,0.00492308
rdma_cpu,3,6317564,1.01305e-08
rdma_cpu,3,2,0.032
rdma_cpu,3,12,0.00533333
rdma_cpu,3,18,0.00355556
rdma_cpu,3,13,0.00492308
rdma_cpu,3,3,0.0213333
rdma_cpu,3,19,0.00336842
rdma_cpu,3,18,0.00355556
rdma_cpu,3,12,0.00533333
rdma_cpu,3,1,0.064
rdma_cpu,3,3,0.0213333
rdma_cpu,3,13,0.00492308
rdma_cpu,3,2,0.032
rdma_cpu,3,3,0.0213333
rdma_cpu,3,19,0.00336842
rdma_cpu,3,2,0.032
rdma_cpu,3,11,0.00581818
rdma_cpu,3,2,0.032
rdma_cpu,3,18,0.00355556
rdma_cpu,3,3,0.0213333
rdma_cpu,3,13,0.00492308
rdma_cpu,3,18,0.00355556
rdma_cpu,3,19,0.00336842
rdma_cpu,3,20,0.0032
rdma_cpu,3,3,0.0213333
rdma_cpu,3,2,0.032
rdma_cpu,3,5528705,1.15759e-08
rdma_cpu,3,16,0.004
rdma_cpu,3,5756407,1.1118e-08
rdma_cpu,3,1,0.064
rdma_cpu,3,2,0.032
rdma_cpu,3,18,0.00355556
rdma_cpu,3,5921256,1.08085e-08
rdma_cpu,3,5382036,1.18914e-08
rdma_cpu,3,5913678,1.08224e-08
rdma_cpu,3,3,0.0213333
rdma_cpu,3,17,0.00376471
rdma_cpu,3,6007408,1.06535e-08
rdma_cpu,3,2,0.032
rdma_cpu,3,17,0.00376471
rdma_cpu,3,2914,2.19629e-05
rdma_cpu,3,20,0.0032
rdma_cpu,3,22,0.00290909
rdma_cpu,3,14,0.00457143
rdma_cpu,3,21,0.00304762
rdma_cpu,3,17,0.00376471
rdma_cpu,3,14,0.00457143
rdma_cpu,3,19,0.00336842
rdma_cpu,3,27,0.00237037
rdma_cpu,3,49,0.00130612
rdma_cpu,3,25,0.00256
rdma_cpu,3,24,0.00266667
rdma_cpu,3,25,0.00256
rdma_cpu,3,44,0.00145455
rdma_cpu,3,26,0.00246154
rdma_cpu,3,44,0.00145455
rdma_cpu,3,47,0.0013617
rdma_cpu,3,49,0.00130612
rdma_cpu,3,20,0.0032
rdma_cpu,3,38,0.00168421
rdma_cpu,3,37,0.00172973
rdma_cpu,3,21,0.00304762
rdma_cpu,3,36,0.00177778
rdma_cpu,3,38,0.00168421
rdma_cpu,3,24,0.00266667
rdma_cpu,3,46,0.0013913
rdma_cpu,3,45,0.00142222
rdma_cpu,3,49,0.00130612
rdma_cpu,3,24,0.00266667
rdma_cpu,3,48,0.00133333
rdma_cpu,3,49,0.00130612
rdma_cpu,3,53,0.00120755
rdma_cpu,3,3240,1.97531e-05
rdma_cpu,3,3802,1.68332e-05
rdma_cpu,3,2228,2.87253e-05
rdma_cpu,3,2003,3.19521e-05
rdma_cpu,3,47,0.0013617
rdma_cpu,3,17,0.00376471
rdma_cpu,3,51,0.0012549
rdma_cpu,3,52,0.00123077
